0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.781		0.215979		0.269541
0.782		0.215829		0.269341
0.783		0.215679		0.26914
0.784		0.215529		0.26894
0.785		0.21538		0.26874
0.786		0.21523		0.268541
0.787		0.215081		0.268341
0.788		0.214932		0.268142
0.789		0.214783		0.267943
0.79		0.214634		0.267744
0.791		0.214485		0.267546
0.792		0.214336		0.267348
0.793		0.214188		0.26715
0.794		0.21404		0.266952
0.795		0.213892		0.266754
0.796		0.213744		0.266557
0.797		0.213596		0.26636
0.798		0.213449		0.266163
0.799		0.213301		0.265967
0.8		0.213154		0.26577
0.801		0.213007		0.265574
0.802		0.21286		0.265379
0.803		0.212713		0.265183
0.804		0.212566		0.264988
0.805		0.21242		0.264792
0.806		0.212274		0.264598
0.807		0.212127		0.264403
0.808		0.211981		0.264209
0.809		0.211836		0.264014
0.81		0.21169		0.26382
0.811		0.211544		0.263627
0.812		0.211399		0.263433
0.813		0.211254		0.26324
0.814		0.211109		0.263047
0.815		0.210964		0.262854
0.816		0.210819		0.262662
0.817		0.210675		0.26247
0.818		0.21053		0.262277
0.819		0.210386		0.262086
0.82		0.210242		0.261894
0.821		0.210098		0.261703
0.822		0.209954		0.261512
0.823		0.20981		0.261321
0.824		0.209667		0.26113
0.825		0.209524		0.26094
0.826		0.20938		0.26075
0.827		0.209237		0.26056
0.828		0.209095		0.26037
0.829		0.208952		0.26018
0.83		0.208809		0.259991
0.831		0.208667		0.259802
0.832		0.208525		0.259613
0.833		0.208383		0.259425
0.834		0.208241		0.259236
0.835		0.208099		0.259048
0.836		0.207957		0.25886
0.837		0.207816		0.258673
0.838		0.207675		0.258485
0.839		0.207534		0.258298
0.84		0.207393		0.258111
0.841		0.207252		0.257925
0.842		0.207111		0.257738
0.843		0.20697		0.257552
0.844		0.20683		0.257366
0.845		0.20669		0.25718
0.846		0.20655		0.256994
0.847		0.20641		0.256809
0.848		0.20627		0.256624
0.849		0.20613		0.256439
0.85		0.205991		0.256254
0.851		0.205852		0.25607
0.852		0.205713		0.255886
0.853		0.205574		0.255702
0.854		0.205435		0.255518
0.855		0.205296		0.255334
0.856		0.205157		0.255151
0.857		0.205019		0.254968
0.858		0.204881		0.254785
0.859		0.204743		0.254602
0.86		0.204605		0.25442
0.861		0.204467		0.254238
0.862		0.204329		0.254056
0.863		0.204192		0.253874
0.864		0.204054		0.253693
0.865		0.203917		0.253511
0.866		0.20378		0.25333
0.867		0.203643		0.253149
0.868		0.203507		0.252969
0.869		0.20337		0.252788
0.87		0.203234		0.252608
0.871		0.203097		0.252428
0.872		0.202961		0.252248
0.873		0.202825		0.252069
0.874		0.202689		0.251889
0.875		0.202553		0.25171
0.876		0.202418		0.251531
0.877		0.202283		0.251353
0.878		0.202147		0.251174
0.879		0.202012		0.250996
0.88		0.201877		0.250818
0.881		0.201742		0.25064
0.882		0.201608		0.250463
0.883		0.201473		0.250285
0.884		0.201339		0.250108
0.885		0.201205		0.249931
0.886		0.20107		0.249754
0.887		0.200937		0.249578
0.888		0.200803		0.249402
0.889		0.200669		0.249226
0.89		0.200536		0.24905
0.891		0.200402		0.248874
0.892		0.200269		0.248699
0.893		0.200136		0.248523
0.894		0.200003		0.248348
0.895		0.19987		0.248174
0.896		0.199738		0.247999
0.897		0.199605		0.247825
0.898		0.199473		0.247651
0.899		0.199341		0.247477
0.9		0.199209		0.247303
0.901		0.199077		0.247129
0.902		0.198945		0.246956
0.903		0.198813		0.246783
0.904		0.198682		0.24661
0.905		0.19855		0.246437
0.906		0.198419		0.246265
0.907		0.198288		0.246093
0.908		0.198157		0.245921
0.909		0.198027		0.245749
0.91		0.197896		0.245577
0.911		0.197765		0.245406
0.912		0.197635		0.245235
0.913		0.197505		0.245064
0.914		0.197375		0.244893
0.915		0.197245		0.244722
0.916		0.197115		0.244552
0.917		0.196986		0.244382
0.918		0.196856		0.244212
0.919		0.196727		0.244042
0.92		0.196597		0.243872
0.921		0.196468		0.243703
0.922		0.196339		0.243534
0.923		0.196211		0.243365
0.924		0.196082		0.243196
0.925		0.195954		0.243028
0.926		0.195825		0.242859
0.927		0.195697		0.242691
0.928		0.195569		0.242523
0.929		0.195441		0.242356
0.93		0.195313		0.242188
0.931		0.195185		0.242021
0.932		0.195058		0.241854
0.933		0.19493		0.241687
0.934		0.194803		0.24152
0.935		0.194676		0.241354
0.936		0.194549		0.241187
0.937		0.194422		0.241021
0.938		0.194296		0.240855
0.939		0.194169		0.24069
0.94		0.194043		0.240524
0.941		0.193916		0.240359
0.942		0.19379		0.240194
