0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.838		0.264155		0.00695806
0.839		0.263805		0.00694639
0.84		0.263455		0.00693476
0.841		0.263105		0.00692316
0.842		0.262755		0.0069116
0.843		0.262406		0.00690007
0.844		0.262058		0.00688858
0.845		0.261709		0.00687713
0.846		0.261361		0.00686571
0.847		0.261013		0.00685433
0.848		0.260666		0.00684298
0.849		0.260318		0.00683166
0.85		0.259972		0.00682038
0.851		0.259625		0.00680913
0.852		0.259279		0.00679792
0.853		0.258933		0.00678674
0.854		0.258588		0.0067756
0.855		0.258242		0.00676448
0.856		0.257897		0.0067534
0.857		0.257553		0.00674236
0.858		0.257209		0.00673135
0.859		0.256865		0.00672037
0.86		0.256522		0.00670942
0.861		0.256178		0.0066985
0.862		0.255836		0.00668762
0.863		0.255493		0.00667677
0.864		0.255151		0.00666595
0.865		0.254809		0.00665516
0.866		0.254468		0.00664441
0.867		0.254127		0.00663368
0.868		0.253786		0.00662299
0.869		0.253446		0.00661233
0.87		0.253106		0.00660169
0.871		0.252766		0.00659109
0.872		0.252427		0.00658052
0.873		0.252088		0.00656998
0.874		0.25175		0.00655947
0.875		0.251411		0.00654899
0.876		0.251074		0.00653854
0.877		0.250736		0.00652812
0.878		0.250399		0.00651773
0.879		0.250062		0.00650737
0.88		0.249726		0.00649704
0.881		0.24939		0.00648674
0.882		0.249054		0.00647646
0.883		0.248719		0.00646622
0.884		0.248384		0.006456
0.885		0.24805		0.00644581
0.886		0.247716		0.00643565
0.887		0.247382		0.00642552
0.888		0.247049		0.00641542
0.889		0.246716		0.00640534
0.89		0.246383		0.0063953
0.891		0.246051		0.00638528
0.892		0.245719		0.00637529
0.893		0.245387		0.00636532
0.894		0.245056		0.00635538
0.895		0.244726		0.00634547
0.896		0.244395		0.00633559
0.897		0.244065		0.00632573
0.898		0.243736		0.0063159
0.899		0.243407		0.0063061
0.9		0.243078		0.00629632
0.901		0.24275		0.00628657
0.902		0.242422		0.00627685
0.903		0.242094		0.00626715
